FPR,TPR,Organism,Species,Abundance,Dominance,Read Length,Software
0.00239234,0.8,OB,S10,A100000,D50,R1000,PathoScope2
0.00239234,0.8,OB,S10,A100000,D50,R150,PathoScope2
0.00239234,0.8,OB,S10,A100000,D50,R300,PathoScope2
0.00239234,0.8,OB,S10,A100000,D50,R75,PathoScope2
0.0142857,0.5,OB,S10,A100000,D50,R1000,Sigma
0.0142857,0.6,OB,S10,A100000,D50,R150,Sigma
0.0142857,0.5,OB,S10,A100000,D50,R300,Sigma
0.0142857,0.6,OB,S10,A100000,D50,R75,Sigma
0.0526316,0.75,OB,S10,A100000,D50,R1000,Taxator-tk
0.0526316,0.714286,OB,S10,A100000,D50,R150,Taxator-tk
0.0526316,0.75,OB,S10,A100000,D50,R300,Taxator-tk
0.0526316,0.5,OB,S10,A100000,D50,R75,Taxator-tk
0.0743405,0.857143,OB,S10,A100000,D100,R1000,Centrifuge
0.0743405,0.857143,OB,S10,A100000,D100,R150,Centrifuge
0.0743405,0.857143,OB,S10,A100000,D100,R300,Centrifuge
0.0743405,0.875,OB,S10,A100000,D100,R75,Centrifuge
0.0119332,0.555556,OB,S10,A100000,D100,R1000,Constrains
0.0119332,0.555556,OB,S10,A100000,D100,R150,Constrains
0.0119332,0.555556,OB,S10,A100000,D100,R300,Constrains
0.0119332,0.555556,OB,S10,A100000,D100,R75,Constrains
0.00239234,0.75,OB,S10,A100000,D100,R1000,Kraken
0.00239234,0.75,OB,S10,A100000,D100,R150,Kraken
0.00239234,0.75,OB,S10,A100000,D100,R300,Kraken
0.00239234,0.75,OB,S10,A100000,D100,R75,Kraken
0.00478469,0.888889,OB,S10,A100000,D100,R1000,MetaMix*
0.00239808,0.9,OB,S10,A100000,D100,R150,MetaMix*
0.00478469,0.888889,OB,S10,A100000,D100,R300,MetaMix*
0.00239808,0.9,OB,S10,A100000,D100,R75,MetaMix*
0.0142857,0.333333,OB,S10,A100000,D100,R1000,MetaPhlan2
0.0142857,0.333333,OB,S10,A100000,D100,R150,MetaPhlan2
0.0142857,0.333333,OB,S10,A100000,D100,R300,MetaPhlan2
0.0142857,0.428571,OB,S10,A100000,D100,R75,MetaPhlan2
